"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"job09nut  ","P",03/20/2018 9:30,0,1,2         ,1         ,"{TSE}",0.0019,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0303,<0>  ,2.4,<0>  ,
"job09nut  ","P",03/20/2018 11:41,0,1,2         ,1         ,"{TSE}",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0155,<0>  ,10.98,<0>  ,
"job09nut  ","P",03/20/2018 13:52,0,1,2         ,1         ,"{TSE}",0.0019,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0221,<0>  ,30.51,<0>  ,
"job09nut  ","P",03/20/2018 16:03,0,1,2         ,1         ,"{TSL}","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,
"job09nut  ","P",03/20/2018 18:14,0,1,2         ,1         ,"{TSF}",0.0020,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0122,<0>  ,7.9,<0>  ,
"job09nut  ","P",03/20/2018 20:25,0,1,2         ,1         ,"{TSF}",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0081,<0>  ,9.17,<0>  ,
"job09nut  ","P",03/20/2018 22:36,0,1,2         ,1         ,"{TSF}",0.0024,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0065,<0>  ,4.55,<0>  ,
"job09nut  ","P",03/21/2018 0:47,0,1,2         ,1         ,"{TSF}",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0138,<0>  ,4.82,<0>  ,
"job09nut  ","P",03/21/2018 2:58,0,1,2         ,1         ,"{TSH}",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.012,<0>  ,4.41,<0>  ,
"job09nut  ","P",03/21/2018 5:09,0,1,2         ,1         ,"{TSE}",0.0027,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0106,<0>  ,3.86,<0>  ,
"job09nut  ","P",03/21/2018 7:20,0,1,2         ,1         ,"{TSE}",0.0030,<0>  ,0.0081,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0146,<0>  ,3.19,<0>  ,
"job09nut  ","P",03/21/2018 9:31,0,1,2         ,1         ,"{TSE}",0.0066,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0214,<0>  ,4.8,<0>  ,
"job09nut  ","P",03/21/2018 10:15,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {ESE} {WS0}",0.0031,<0>  ,0.0062,<-4> [SBL] ,0.0020,<0>  ,0.0094,<0>  ,0.0114,<0>  ,4.86,<0>  ,
"job09nut  ","P",03/21/2018 10:16,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH0} {ESE} {WS0}",0.0029,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.01,<0>  ,4.53,<0>  ,
"job09nut  ","P",04/10/2018 9:30,0,1,2         ,1         ,"{TSE}",0.0045,<0>  ,0.0162,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,1.43,<0>  ,
"job09nut  ","P",04/10/2018 11:41,0,1,2         ,1         ,"{TSE}",0.0022,<0>  ,0.0062,<-4> [SBL] ,0.0020,<0>  ,0.0082,<0>  ,0.0102,<0>  ,2.49,<0>  ,
"job09nut  ","P",04/10/2018 13:52,0,1,2         ,1         ,"{TSE}",0.0045,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.84,<0>  ,
"job09nut  ","P",04/10/2018 16:03,0,1,2         ,1         ,"{TSL}",0.0051,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,3.21,<0>  ,
"job09nut  ","P",04/10/2018 18:14,0,1,2         ,1         ,"{TSF}","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,
"job09nut  ","P",04/10/2018 20:25,0,1,2         ,1         ,"{TSF}",0.0035,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0058,<0>  ,2.06,<0>  ,
"job09nut  ","P",04/10/2018 22:36,0,1,2         ,1         ,"{TSF}",0.0040,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.01,<0>  ,1.53,<0>  ,
"job09nut  ","P",04/11/2018 0:47,0,1,2         ,1         ,"{TSF}",0.0043,<0>  ,0.0113,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,1.44,<0>  ,
"job09nut  ","P",04/11/2018 2:58,0,1,2         ,1         ,"{TSF}",0.0040,<0>  ,0.0092,<0>  ,0.0016,<0>  ,0.016,<0>  ,0.0176,<0>  ,1.66,<0>  ,
"job09nut  ","P",04/11/2018 5:09,0,1,2         ,1         ,"{TSF}",0.0016,<-4> [SBL] ,0.0163,<0>  ,0.0017,<0>  ,0.0116,<0>  ,0.0133,<0>  ,0.99,<0>  ,
"job09nut  ","P",04/11/2018 7:20,0,1,2         ,1         ,"{TSH}",0.0016,<-4> [SBL] ,0.0165,<0>  ,0.0018,<0>  ,0.0113,<0>  ,0.0131,<0>  ,2.02,<0>  ,
"job09nut  ","P",04/11/2018 9:31,0,1,2         ,1         ,"{TSE}",0.0022,<0>  ,0.0104,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0084,<0>  ,3.01,<0>  ,
"job09nut  ","P",04/11/2018 10:11,0,1,1         ,1         ,"{COC} {PLR} {TSE} {WH0} {E} {WS0}",0.0030,<0>  ,0.013,<0>  ,0.0020,<0>  ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.9,<0>  ,
"job09nut  ","P",04/11/2018 10:12,0,1,1         ,2         ,"{COC} {PLR} {TSE} {WH0} {E} {WS0}",0.0021,<0>  ,0.0116,<0>  ,0.0019,<0>  ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.29,<0>  ,
"job09nut  ","P",05/08/2018 10:00,0,1,2         ,1         ,"{TSE}",0.0037,<0>  ,0.0095,<0>  ,0.0022,<0>  ,0.0157,<0>  ,0.0179,<0>  ,2.87,<0>  ,
"job09nut  ","P",05/08/2018 12:11,0,1,2         ,1         ,"{TSL}",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0194,<0>  ,1.56,<0>  ,
"job09nut  ","P",05/08/2018 14:22,0,1,2         ,1         ,"{TSF}",0.0037,<0>  ,0.0075,<0>  ,0.0019,<0>  ,0.0092,<0>  ,0.0111,<0>  ,2.55,<0>  ,
"job09nut  ","P",05/08/2018 16:33,0,1,2         ,1         ,"{TSF}",0.0019,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.55,<0>  ,
"job09nut  ","P",05/08/2018 18:44,0,1,2         ,1         ,"{TSF}","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,
"job09nut  ","P",05/08/2018 20:55,0,1,2         ,1         ,"{TSF}","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,
"job09nut  ","P",05/08/2018 23:06,0,1,2         ,1         ,"{TSF}","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,
"job09nut  ","P",05/09/2018 1:17,0,1,2         ,1         ,"{TSF}","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,
"job09nut  ","P",05/09/2018 3:28,0,1,2         ,1         ,"{TSF}","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,
"job09nut  ","P",05/09/2018 5:39,0,1,2         ,1         ,"{TSH}","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,
"job09nut  ","P",05/09/2018 7:50,0,1,2         ,1         ,"{TSE}","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,
"job09nut  ","P",05/09/2018 10:01,0,1,2         ,1         ,"{TSE}","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,
"job09nut  ","P",05/09/2018 10:05,0,1,1         ,1         ,"{CSP} {PNP} {TSL} {WH0} {S} {WS0}",0.0065,<0>  ,0.038,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0303,<0>  ,3.36,<0>  ,
"job09nut  ","P",05/09/2018 10:06,0,1,1         ,2         ,"{CSP} {PNP} {TSL} {WH0} {S} {WS0}",0.0075,<0>  ,0.0416,<0>  ,0.0022,<0>  ,0.0204,<0>  ,0.0226,<0>  ,2.81,<0>  ,
"job09nut  ","P",06/05/2018 10:00,0,1,2         ,1         ,"{TSE}",0.0066,<0>  ,0.0268,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0098,<0>  ,2.96,<0>  ,
"job09nut  ","P",06/05/2018 12:11,0,1,2         ,1         ,"{TSL}",0.0079,<0>  ,0.0196,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0095,<0>  ,6.06,<0>  ,
"job09nut  ","P",06/05/2018 14:22,0,1,2         ,1         ,"{TSF}",0.0058,<0>  ,0.012,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0062,<0>  ,6.5,<0>  ,
"job09nut  ","P",06/05/2018 16:33,0,1,2         ,1         ,"{TSF}",0.0045,<0>  ,0.0074,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0113,<0>  ,5.28,<0>  ,
"job09nut  ","P",06/05/2018 18:44,0,1,2         ,1         ,"{TSF}",0.0048,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0221,<0>  ,4.06,<0>  ,
"job09nut  ","P",06/05/2018 20:55,0,1,2         ,1         ,"{TSF}",0.0132,<0>  ,0.0072,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.45,<0>  ,
"job09nut  ","P",06/05/2018 23:06,0,1,2         ,1         ,"{TSF}",0.0045,<0>  ,0.0124,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,8.04,<0>  ,
"job09nut  ","P",06/06/2018 1:17,0,1,2         ,1         ,"{TSF}",0.0027,<0>  ,0.0139,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.46,<0>  ,
"job09nut  ","P",06/06/2018 3:28,0,1,2         ,1         ,"{TSH}",0.0016,<-4> [SBL] ,0.0348,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,1.52,<0>  ,
"job09nut  ","P",06/06/2018 5:39,0,1,2         ,1         ,"{TSE}",0.0027,<0>  ,0.0385,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,1.37,<0>  ,
"job09nut  ","P",06/06/2018 7:50,0,1,2         ,1         ,"{TSE}",0.0021,<0>  ,0.0299,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0059,<0>  ,3.71,<0>  ,
"job09nut  ","P",06/06/2018 10:00,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {SE} {WS0}",0.0027,<0>  ,0.0298,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,0.1,<-4> [SBL] ,
"job09nut  ","P",06/06/2018 10:01,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH0} {SE} {WS0}",0.0028,<0>  ,0.0234,<0>  ,0.0017,<0>  ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,5.64,<0>  ,
"job09nut  ","P",06/06/2018 10:01,0,1,2         ,1         ,"{TSE}",0.0051,<0>  ,0.0178,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0086,<0>  ,11.94,<0>  ,
"job09nut  ","P",07/17/2018 9:30,0,1,2         ,1         ,"{TSE}",0.0029,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,13.85,<0>  ,
"job09nut  ","P",07/17/2018 11:41,0,1,2         ,1         ,"{TSL}",0.0031,<0>  ,0.0064,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,21.8,<0>  ,
"job09nut  ","P",07/17/2018 13:52,0,1,2         ,1         ,"{TSF}",0.0159,<0>  ,0.0072,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,25.31,<0>  ,
"job09nut  ","P",07/17/2018 16:03,0,1,2         ,1         ,"{TSF}",0.0030,<0>  ,0.0099,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,4.77,<0>  ,
"job09nut  ","P",07/17/2018 18:14,0,1,2         ,1         ,"{TSF}",0.0048,<0>  ,0.0087,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.78,<0>  ,
